Terms,docFreq,postList
lanjut,3,"[24, 35, 10]"
lapar,1,[13]
lapis,1,[14]
lawe,4,"[19, 19, 19, 19]"
layang,1,[28]
lebih,7,"[35, 30, 27, 28, 24, 26, 24]"
leisure,1,[34]
lengkap,2,"[15, 2]"
lereng,3,"[29, 1, 31]"
lerep,7,"[3, 3, 16, 16, 16, 16, 17]"
letaknya,1,[34]
lewat,1,[27]
lho,1,[0]
liburan,1,[15]
liburanmu,1,[6]
liburannya,1,[15]
lidah,2,"[35, 23]"
lihat,1,[6]
lima,1,[13]
limbah,1,[16]
little,1,[34]
live,1,[28]
lokal,1,[27]
lokasi,2,"[21, 29]"
lokasinya,2,"[9, 11]"
luar,2,"[25, 12]"
luas,3,"[28, 24, 27]"
lupa,1,[2]
m,5,"[14, 22, 22, 13, 17]"
mabur,1,[37]
magelang,2,"[26, 24]"
magnet,1,[12]
main,2,"[6, 6]"
majapahit,1,[2]
makamnya,1,[1]
makanan,4,"[32, 37, 16, 37]"
makin,1,[5]
maksimal,1,[14]
mampir,1,[6]
mampirlah,1,[3]
mari,1,[8]
maria,13,"[12, 8, 8, 8, 22, 22, 12, 22, 12, 22, 22, 22, 12]"
marine,1,[34]
masa,1,[1]
masakan,3,"[27, 5, 35]"
masih,3,"[34, 28, 14]"
masjid,1,[1]
masuk,3,"[17, 36, 28]"
masyarakat,1,[2]
mata,3,"[21, 17, 27]"
matahari,3,"[25, 27, 25]"
mau,3,"[9, 6, 6]"
meeting,1,[18]
melakukan,2,"[22, 28]"
melalui,1,[27]
melepas,1,[28]
melepaskan,1,[27]
melewati,2,"[21, 27]"
melihat,2,"[36, 21]"
meliuk,1,[17]
melompat,1,[14]
memacu,2,"[9, 17]"
memahami,1,[26]
memamerkan,1,[20]
memandang,1,[27]
memanfaatkan,1,[29]
memanjakan,2,"[35, 23]"
membawa,1,[20]
membeli,1,[36]
memberi,1,[8]
membuat,4,"[25, 3, 34, 3]"
memiliki,8,"[29, 21, 24, 18, 16, 24, 28, 17]"
mempertahankan,1,[26]
memudahkan,1,[20]
menaiki,1,[14]
menantang,2,"[10, 10]"
menara,1,[15]
menarik,6,"[3, 4, 31, 30, 36, 2]"
menawarkan,7,"[23, 13, 33, 25, 34, 20, 35]"
mencicipi,1,[16]
mendapatkan,1,[25]
menegangkan,3,"[14, 14, 10]"
menenangkan,1,[8]
mengabadikan,1,[27]
mengenang,1,[26]
menggunakan,3,"[14, 10, 14]"
menghabiskan,4,"[15, 33, 25, 34]"
mengikuti,1,[18]
mengubah,1,[20]
mengunjungi,3,"[33, 1, 29]"
menikmati,5,"[31, 36, 7, 21, 20]"
menjadi,6,"[23, 12, 18, 33, 26, 15]"
menjadikan,1,[34]
menjajal,1,[11]
menjelang,1,[30]
menuju,2,"[27, 21]"
menurun,1,[27]
menyajikan,3,"[35, 36, 27]"
menyaksikan,1,[16]
menyebutnya,1,[2]
menyediakan,5,"[26, 32, 30, 32, 27]"
menyenangkan,3,"[28, 23, 27]"
menyimpan,1,[26]
menyuguhkan,1,[15]
merah,1,[7]
merapi,1,[27]
merasakan,1,[13]
merbabu,2,"[27, 24]"
mereka,1,[25]
merlion,1,[15]
merupakan,8,"[26, 17, 29, 29, 20, 22, 34, 32]"
meter,8,"[13, 23, 22, 17, 9, 12, 23, 11]"
milimeter,1,[14]
militer,1,[20]
minggu,3,"[17, 16, 3]"
miniatur,1,[15]
minuman,2,"[16, 36]"
moment,1,[27]
montor,1,[37]
monumen,1,[26]
mpdl,1,[34]
mudah,1,[9]
mulai,2,"[36, 23]"
munadi,1,[1]
muncar,1,[19]
muncul,4,"[30, 30, 30, 30]"
museum,9,"[26, 26, 20, 26, 20, 20, 20, 20, 20]"
music,1,[28]
mystica,3,"[8, 8, 8]"
naik,1,[6]
nama,1,[29]
namun,2,"[21, 29]"
nanti,1,[13]
ndeso,1,[16]
negara,1,[26]
negeri,1,[12]
ngecamp,1,[0]
nggak,1,[0]
ngipik,1,[16]
ngisor,1,[10]
nih,1,[0]
no,1,[32]
nuansa,2,"[27, 33]"
nya,1,[33]
nyaman,1,[33]
nyata,1,[5]
nyatnyono,2,"[1, 1]"
obat,1,[32]
objek,2,"[30, 26]"
oh,2,"[6, 11]"
olah,1,[31]
olahan,1,[36]
oleh,5,"[9, 9, 29, 24, 24]"
on,5,"[36, 7, 36, 36, 36]"
ondo,1,[14]
one,2,"[18, 4]"
orang,7,"[17, 23, 25, 13, 36, 14, 7]"
organik,2,"[32, 32]"
out,1,[28]
outbond,1,[18]
outbound,3,"[23, 24, 27]"
outdoor,3,"[34, 18, 28]"
p,2,"[32, 37]"
package,1,[18]
pada,8,"[21, 2, 33, 1, 22, 2, 29, 20]"
padusan,2,"[30, 30]"
pagi,2,"[25, 16]"
pahlawan,1,[26]
paintball,2,"[27, 24]"
pakaian,1,[26]
paket,2,"[20, 34]"
pala,1,[31]
palagan,2,"[26, 26]"
panggung,1,[21]
pangus,1,[16]
panjang,1,[22]
panorama,4,"[7, 30, 25, 6]"
para,4,"[26, 27, 30, 23]"
paralayang,1,[34]
park,3,"[6, 6, 13]"
pas,1,[33]
pasar,3,"[3, 16, 24]"
pasti,1,[10]
patimura,1,[35]
patung,4,"[22, 12, 22, 15]"
patut,1,[34]
pecinta,1,[25]
pedesaan,1,[35]
pegunungan,4,"[20, 27, 27, 25]"
pekan,3,"[33, 9, 34]"
pelangi,1,[9]
pemancingan,2,"[30, 28]"
pemandangan,9,"[35, 33, 34, 31, 0, 23, 25, 21, 31]"
pemandian,5,"[30, 30, 30, 30, 30]"
pemanfaatan,1,[16]
pembersihan,1,[17]
pembibitan,1,[30]
penanaman,1,[18]
penasaran,1,[14]
penat,1,[28]
pengaman,1,[14]
pengemasan,1,[18]
penggemar,2,"[36, 27]"
penginapan,3,"[4, 34, 33]"
pengolahan,3,"[18, 16, 36]"
pengunjung,15,"[22, 36, 36, 23, 15, 14, 28, 31, 14, 34, 36, 18, 35, 20, 35]"
pening,5,"[25, 25, 27, 25, 20]"
peninggalan,2,"[29, 1]"
penjagaan,1,[27]
penopang,1,[22]
penuh,1,[16]
penyiar,1,[1]
per,2,"[13, 36]"
perjalanan,1,[31]
perkebunan,5,"[0, 36, 27, 32, 31]"
perlu,1,[15]
permainan,6,"[24, 17, 10, 23, 28, 23]"
permen,2,"[36, 3]"
pernah,1,[2]
perosotan,3,"[17, 23, 9]"
persawahan,1,[21]
pertamakali,1,[20]
pertempuran,1,[26]
pertemuan,1,[24]
pesan,1,[5]
pesona,2,"[12, 12]"
pesonaindonedia,1,[3]
pesonaindonesia,1,[2]
peternakan,1,[36]
petik,3,"[7, 7, 0]"
petilasan,1,[2]
pewayangan,1,[37]
peziarah,2,"[1, 22]"
pikiran,1,[3]
pilihan,2,"[13, 15]"
pinggir,1,[26]
pjka,1,[28]
playground,1,[28]
pokdarwis,1,[16]
pon,1,[3]
populer,1,[25]
pos,1,[27]
prabu,2,"[2, 2]"
produk,1,[36]
proses,1,[36]
puasa,1,[30]
pukul,2,"[36, 17]"
pula,3,"[2, 35, 23]"
pun,1,[35]
puncak,1,[16]
punya,2,"[11, 12]"
pupuk,1,[32]
puri,2,"[0, 0]"
purworejo,3,"[13, 13, 13]"
pusat,5,"[25, 36, 20, 24, 9]"
putih,2,"[19, 19]"
putranya,1,[1]
rabu,1,[17]
raffles,1,[29]
raga,1,[31]
raja,2,"[2, 20]"
raksasa,2,"[6, 6]"
ramai,1,[1]
rame,2,"[5, 5]"
ranch,1,[34]
rapat,1,[35]
rasanya,1,[10]
ratus,1,[9]
rawa,5,"[25, 20, 27, 25, 25]"
raya,3,"[18, 26, 10]"
real,1,[34]
rebana,1,[16]
reco,3,"[14, 14, 14]"
recreation,1,[34]
referensi,1,[4]
reguler,1,[28]
rekreasi,2,"[36, 20]"
relaksasi,1,[3]
religi,2,"[1, 1]"
remaja,1,[17]
renang,8,"[34, 17, 18, 27, 17, 17, 5, 28]"
reog,1,[16]
reservasi,2,"[35, 16]"
resmi,1,[27]
resor,2,"[33, 35]"
resort,7,"[27, 28, 24, 27, 27, 18, 35]"
restaurant,2,"[36, 18]"
resto,4,"[27, 23, 4, 10]"
restoran,5,"[32, 33, 35, 27, 24]"
review,1,[36]
reviews,1,[36]
ribu,1,[13]
ribuan,1,[15]
ritual,2,"[30, 30]"
roda,1,[13]
rombongan,1,[9]
rong,2,"[27, 27]"
rosa,3,"[8, 8, 8]"
rowoboni,2,"[30, 2]"
rp,7,"[17, 28, 25, 28, 36, 28, 28]"
rt,2,"[16, 17]"
ruang,1,[35]
rukun,1,[16]
rumah,1,[11]
rupiah,1,[13]
rustam,1,[20]
rutin,1,[30]
rw,1,[17]
s,10,"[36, 27, 21, 33, 34, 32, 37, 22, 25, 23]"
saat,4,"[25, 2, 13, 8]"
sabtu,1,[17]
sadranan,1,[16]
saja,4,"[9, 3, 15, 17]"
saking,1,[6]
salatiga,2,"[30, 24]"
salib,2,"[22, 22]"
saling,1,[37]
salju,1,[11]
saloka,1,[13]
sambil,4,"[7, 14, 26, 20]"
sampai,2,"[30, 9]"
sana,1,[0]
sanctuary,1,[28]
sang,1,[2]
sangat,5,"[21, 33, 27, 24, 30]"
sanjaya,1,[29]
santoso,1,[16]
sapi,1,[16]
satu,2,"[20, 30]"
satunya,1,[20]
